filename,fileid,speaker,speechnumber,type_of_speech,sentence,sentence token,sentence character offset begin,sentence character offset end,annotated text,conflict_party_appraisal_target,attitude,polarity,appraisal character offset,attitude target,conflict_party_specific_appraisal_target,target_type,id annotated attitude,target relation ID,ID attitude,ID attitude target,relations_comp
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"That is welcome, but it is not enough.","['That', 'is', 'welcome', ',', 'but', 'it', 'is', 'not', 'enough', '.']",4622,4660,That is welcome,implicit,affect,positive,"(4622, 4637)",implicit,implicit,implicit,938,,938,,"[None, [938, 'That is welcome'], [None, 'None']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"That is welcome, but it is not enough.","['That', 'is', 'welcome', ',', 'but', 'it', 'is', 'not', 'enough', '.']",4622,4660,but it is not enough,implicit,judgement,negative,"(4639, 4659)",implicit,implicit,implicit,939,,939,,"[None, [939, 'but it is not enough'], [None, 'None']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"In the light of yesterday's tragedy, any other course of action would be unconscionable.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,tragedy,implicit,appreciation,negative,"(5066, 5073)",implicit,implicit,implicit,940,,940,,"[None, [940, 'tragedy'], [None, 'None']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"In the light of yesterday's tragedy, any other course of action would be unconscionable.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,any other course of action would be unconscionable,implicit,judgement,negative,"(5075, 5125)",implicit,implicit,implicit,941,,941,,"[None, [941, 'any other course of action would be unconscionable'], [None, 'None']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,The senseless violence unleashed by armed separatists in eastern Ukraine has reached monstrous proportions.,"['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,senseless violence,Other,judgement,negative,"(502, 520)",separatists,Individuals or groups,explicit,942,992.0,942,959.0,"[992, [942, 'senseless violence'], [959, 'separatists']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"On 14 June, armed separatists claimed responsibility for - indeed, gloated publicly over 4 the shooting down of a Ukrainian I1-76 transport aircraft, with a loss of all 49 aboard.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed separatists,Other,judgement,negative,"(534, 551)",separatists,Individuals or groups,explicit,943,991.0,943,959.0,"[991, [943, 'armed separatists'], [959, 'separatists']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,The senseless violence unleashed by armed separatists in eastern Ukraine has reached monstrous proportions.,"['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,monstrous proportions.,Other,judgement,negative,"(583, 605)",separatists,Individuals or groups,explicit,944,993.0,944,959.0,"[993, [944, 'monstrous proportions.'], [959, 'separatists']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,We urge Russia to cease its policy of   supporting armed separatist groups and their violent actions of destabilizing a neighbouring country and of generating displacement and social and economic hardship.,"['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,supporting armed separatist groups and their violent actions of destabilizing a neighbouring country and of generating displacement and social and economic hardship.,Russia,judgement,negative,"(3369, 3534)",Russia,Country as a political actor (Russia),explicit,945,1004.0,945,971.0,"[1004, [945, 'supporting armed separatist groups and their violent actions of destabilizing a neighbouring country and of generating displacement and social and economic hardship.'], [971, 'Russia']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,The senseless violence unleashed by armed separatists in eastern Ukraine has reached monstrous proportions.,"['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed separatists,Other,judgement,negative,"(2705, 2722)",separatists,Individuals or groups,explicit,946,1002.0,946,968.0,"[1002, [946, 'armed separatists'], [968, 'separatists']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"The Council must be united in condemning these actions and in demanding that these groups disarm, desist from violence and intimidation and engage in dialogue through the democratic mechanisms that are available to them.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,"condemning these actions and in demanding that these groups disarm, desist from violence and intimidation",Other,judgement,negative,"(4098, 4203)",The Council,Other political actors,explicit,947,1007.0,947,975.0,"[1007, [947, 'condemning these actions and in demanding that these groups disarm, desist from violence and intimidation'], [975, 'The Council']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,Armed separatist groups in the vicinity must allow such access.,"['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,Armed separatist groups,Other,judgement,negative,"(1600, 1623)",groups,Individuals or groups,explicit,948,998.0,948,964.0,"[998, [948, 'Armed separatist groups'], [964, 'groups']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written," On 14 June, armed separatists claimed responsibility for - indeed, gloated publicly over 4 the shooting down of a Ukrainian I1-76 transport aircraft, with a loss of all 49 aboard.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed separatists,Other,judgement,negative,"(2203, 2220)",separatists,Individuals or groups,explicit,949,999.0,949,965.0,"[999, [949, 'armed separatists'], [965, 'separatists']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written," On 14 July, armed separatists shot down an An-26 transport aircraft with a surface-to-air missile.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed separatists,Other,judgement,negative,"(2383, 2400)",separatists,Individuals or groups,explicit,950,1000.0,950,966.0,"[1000, [950, 'armed separatists'], [966, 'separatists']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written, Russian officials have claimed that armed separatists in eastern Ukraine represent a spontaneous local insurgency.,"['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed separatists,Other,judgement,negative,"(4979, 4996)",separatists,Individuals or groups,explicit,951,1009.0,951,977.0,"[1009, [951, 'armed separatists'], [977, 'separatists']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,Let us hear today a clear and unequivocal condemnation from Russia of the actions of these armed groups .,"['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed groups,Other,judgement,negative,"(3626, 3638)",groups,Individuals or groups,explicit,952,1006.0,952,973.0,"[1006, [952, 'armed groups'], [973, 'groups']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"These armed groups do not represent the people of Ukraine; without Russian support, they would wither.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed groups,Other,judgement,negative,"(3646, 3658)",groups,Individuals or groups,explicit,953,1005.0,953,972.0,"[1005, [953, 'armed groups'], [972, 'groups']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"We know that weapons, equipment and logistical support have been systematically provided to armed separatist groups by Russia , including up to 100 man-portable air defence systems and 15 to 25 main battle tanks, not to   mention artillery pieces, rocket launchers and other armoured vehicles.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed separatist groups,Other,judgement,negative,"(4745, 4768)",groups,Individuals or groups,explicit,954,1008.0,954,976.0,"[1008, [954, 'armed separatist groups'], [976, 'groups']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"We know that weapons, equipment and logistical support have been systematically provided to armed separatist groups by Russia , including up to 100   man-portable air defence systems and 15 to 25 main battle tanks, not to mention artillery pieces, rocket launchers and other armoured vehicles.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,"weapons, equipment and logistical support have been systematically provided to armed separatist groups",Russia,judgement,negative,"(2966, 3068)",Russia,Country as a political actor (Russia),explicit,969,1003.0,969,970.0,"[1003, [969, 'weapons, equipment and logistical support have been systematically provided to armed separatist groups'], [970, 'Russia']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,We urge Russia to cease its policy of supporting armed separatist groups and their violent actions of destabilizing a neighbouring country and of generating displacement and social and economic hardship.,"['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed separatist groups,Other,judgement,negative,"(3045, 3068)",groups,Individuals or groups,explicit,978,1010.0,978,979.0,"[1010, [978, 'armed separatist groups'], [979, 'groups']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"It should come together behind a clear demand that the armed separatist groups should lay down their arms and pursue whatever political legitimate objectives they may have through exclusively peaceful and democratic means,   and that the flow of arms, fighters and logistical support to the armed separatists be fully halted and the borders secured.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed separatist groups,Other,judgement,negative,"(3380, 3403)",groups,Individuals or groups,explicit,980,1011.0,980,981.0,"[1011, [980, 'armed separatist groups'], [981, 'groups']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"It is clear where responsibility lies: with the senseless violence of armed separatists and with those who have supported, equipped and advised them.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,senseless violence,Russia,appreciation,negative,"(3966, 3984)",violence,Violence,explicit,982,1012.0,982,983.0,"[1012, [982, 'senseless violence'], [983, 'violence']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,"It is clear where responsibility lies: with the senseless violence of armed separatists and with those who have supported, equipped and advised them.","['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,armed separatists,Other,judgement,negative,"(3988, 4005)",separatists,Individuals or groups,explicit,984,1013.0,984,974.0,"[1013, [984, 'armed separatists'], [974, 'separatists']]"
UNSC_2014_SPV.7219_spch004_sentsplit_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,UNSC_2014_SPV.7219_spch004,United Kingdom,4,pre-written,They must be able to operate unhindered and in security.,"['In', 'the', 'light', 'of', ""yesterday's"", 'tragedy', ',', 'any', 'other', 'course', 'of', 'action', 'would', 'be', 'unconscionable']",5038,5126,to operate unhindered and in security.,Other,judgement,positive,"(1499, 1537)",They,Other political actors,explicit,985,1014.0,985,986.0,"[1014, [985, 'to operate unhindered and in security.'], [986, 'They']]"
UNSC_2014_SPV.7154_spch004_sentsplit_Russian_Federation.txt,UNSC_2014_SPV.7154_spch004,Russian Federation,4,pre-written,The Russian Federation has called for this emergency meeting of the Security Council because of the serious dangerous evolution of the situation in south-eastern Ukraine.,"['The', 'Russian', 'Federation', 'has', 'called', 'for', 'this', 'emergency', 'meeting', 'of', 'the', 'Security', 'Council', 'because', 'of', 'the', 'serious', 'dangerous', 'evolution', 'of', 'the', 'situation', 'in', 'south-eastern', 'Ukraine', '.']",0,170,emergency meeting,Other,appreciation,negative,"(43, 60)",meeting,"Meetings, reports, and debates",explicit,850,906.0,850,884.0,"[906, [850, 'emergency meeting'], [884, 'meeting']]"
UNSC_2014_SPV.7154_spch004_sentsplit_Russian_Federation.txt,UNSC_2014_SPV.7154_spch004,Russian Federation,4,pre-written,The Russian Federation has called for this emergency meeting of the Security Council because of the serious dangerous evolution of the situation in south-eastern Ukraine.,"['The', 'Russian', 'Federation', 'has', 'called', 'for', 'this', 'emergency', 'meeting', 'of', 'the', 'Security', 'Council', 'because', 'of', 'the', 'serious', 'dangerous', 'evolution', 'of', 'the', 'situation', 'in', 'south-eastern', 'Ukraine', '.']",0,170,serious dangerous,Other,appreciation,negative,"(100, 117)",situation,Situation in Ukraine ,explicit,851,907.0,851,885.0,"[907, [851, 'serious dangerous'], [885, 'situation']]"
UNSC_2014_SPV.7154_spch004_sentsplit_Russian_Federation.txt,UNSC_2014_SPV.7154_spch004,Russian Federation,4,pre-written,"We have pointed out on several occasions, including in this Chamber, that the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society.","['We', 'have', 'pointed', 'out', 'on', 'several', 'occasions', ',', 'including', 'in', 'this', 'Chamber', ',', 'that', 'the', 'reckless', 'actions', 'that', 'led', 'to', 'the', 'coup', ""d'etat"", 'by', 'the', 'self-proclaimed', 'Kyiv', 'authorities', 'threaten', 'to', 'definitively', 'destroy', 'the', 'fragile', 'mosaic', 'of', 'Ukrainian', 'society', '.']",171,407,reckless actions,Ukraine,judgement,negative,"(249, 265)",self-proclaimed Kyiv authorities,Ukrainian authorities,explicit,852,908.0,852,886.0,"[908, [852, 'reckless actions'], [886, 'self-proclaimed Kyiv authorities']]"
UNSC_2014_SPV.7154_spch004_sentsplit_Russian_Federation.txt,UNSC_2014_SPV.7154_spch004,Russian Federation,4,pre-written,"We have pointed out on several occasions, including in this Chamber, that the reckless actions that led to the coup d'etat by the self-proclaimed Kyiv authorities threaten to definitively destroy the fragile mosaic of Ukrainian society.","['We', 'have', 'pointed', 'out', 'on', 'several', 'occasions', ',', 'including', 'in', 'this', 'Chamber', ',', 'that', 'the', 'reckless', 'actions', 'that', 'led', 'to', 'the', 'coup', ""d'etat"", 'by', 'the', 'self-proclaimed', 'Kyiv', 'authorities', 'threaten', 'to', 'definitively', 'destroy', 'the', 'fragile', 'mosaic', 'of', 'Ukrainian', 'society', '.']",171,407,definitively destroy,Ukraine,judgement,negative,"(346, 366)",self-proclaimed Kyiv authorities,Ukrainian authorities,explicit,853,909.0,853,886.0,"[909, [853, 'definitively destroy'], [886, 'self-proclaimed Kyiv authorities']]"
UNSC_2014_SPV.7154_spch004_sentsplit_Russian_Federation.txt,UNSC_2014_SPV.7154_spch004,Russian Federation,4,pre-written,"The authorities do not wish to listen to those who do not accept the imposed dominance of Kyiv by national radicals and chauvinistic, Russophobic and anti-Semitic forces, whom they perceive as a threat to their human dignity and to their very lives.","['The', 'authorities', 'do', 'not', 'wish', 'to', 'listen', 'to', 'those', 'who', 'do', 'not', 'accept', 'the', 'imposed', 'dominance', 'of', 'Kyiv', 'by', 'national', 'radicals', 'and', 'chauvinistic', ',', 'Russophobic', 'and', 'anti-Semitic', 'forces', ',', 'whom', 'they', 'perceive', 'as', 'a', 'threat', 'to', 'their', 'human', 'dignity', 'and', 'to', 'their', 'very', 'lives', '.']",408,657,threat to their human dignity and to their very lives,Ukraine,judgement,negative,"(603, 656)",forces,Individuals or groups,explicit,854,913.0,854,888.0,"[913, [854, 'threat to their human dignity and to their very lives'], [888, 'forces']]"
UNSC_2014_SPV.7154_spch004_sentsplit_Russian_Federation.txt,UNSC_2014_SPV.7154_spch004,Russian Federation,4,pre-written,Grotesque Russophobia and entrenched hatred have become the norm in the Verkhovna Rada as well.,"['Grotesque', 'Russophobia', 'and', 'entrenched', 'hatred', 'have', 'become', 'the', 'norm', 'in', 'the', 'Verkhovna', 'Rada', 'as', 'well', '.']",659,754,Grotesque Russophobia and entrenched hatred,implicit,judgement,negative,"(659, 702)",implicit,implicit,implicit,855,,855,,"[None, [855, 'Grotesque Russophobia and entrenched hatred'], [None, 'None']]"
UNSC_2014_SPV.7154_spch004_sentsplit_Russian_Federation.txt,UNSC_2014_SPV.7154_spch004,Russian Federation,4,pre-written,We can only imagine the thoughts that must be churning in the minds of her brutal fellow partisans.,"['We', 'can', 'only', 'imagine', 'the', 'thoughts', 'that', 'must', 'be', 'churning', 'in', 'the', 'minds', 'of', 'her', 'brutal', 'fellow', 'partisans', '.']",1145,1244,brutal fellow partisans,Ukraine,judgement,negative,"(1220, 1243)",partisans,Individuals or groups,explicit,856,914.0,856,889.0,"[914, [856, 'brutal fellow partisans'], [889, 'partisans']]"
UNSC_2014_SPV.7154_spch004_sentsplit_Russian_Federation.txt,UNSC_2014_SPV.7154_spch004,Russian Federation,4,pre-written,And that is not even the most radical group on the Ukrainian political spectrum.,"['And', 'that', 'is', 'not', 'even', 'the', 'most', 'radical', 'group', 'on', 'the', 'Ukrainian', 'political', 'spectrum', '.']",1245,1325,is not even the most radical group,Ukraine,judgement,negative,"(1254, 1288)",partisans,Individuals or groups,explicit,857,915.0,857,889.0,"[915, [857, 'is not even the most radical group'], [889, 'partisans']]"
UNSC_2014_SPV.7154_spch004_sentsplit_Russian_Federation.txt,UNSC_2014_SPV.7154_spch004,Russian Federation,4,pre-written,Should we be surprised that the peaceful political protects and the call by the people of south-eastern Ukraine for their aspirations to be heard have been met by the Rada with draconic laws entailing long-term prison sentences for separatism?,"['Should', 'we', 'be', 'surprised', 'that', 'the', 'peaceful', 'political', 'protects', 'and', 'the', 'call', 'by', 'the', 'people', 'of', 'south-eastern', 'Ukraine', 'for', 'their', 'aspirations', 'to', 'be', 'heard', 'have', 'been', 'met', 'by', 'the', 'Rada', 'with', 'draconic', 'laws', 'entailing', 'long-term', 'prison', 'sentences', 'for', 'separatism', '?']",1326,1569,peaceful political protects,Ukraine,appreciation,positive,"(1358, 1385)",protects,Individuals or groups,explicit,858,916.0,858,890.0,"[916, [858, 'peaceful political protects'], [890, 'protects']]"
